BAKED GOODS,BEVERAGES,BREAKFAST FOOD,CANNED DRY GOODS,COOKING BAKING SUPPLIES,DAIRY,FROZEN,FRUITS,GRAIN/PASTA/RICE,MEAT,REFRIGERATED DELI,SEAFOOD,SWEETS IN SHOP,VEGETABLES,CANNED DRY GOODS 2,COOKING BAKING SUPPLIES 2,DAIRY 2,FROZEN 2,FRUITS 2,GRAIN/PASTA/RICE 2,MEAT 2,REFRIGERATED DELI 2,SEAFOOD 2,SWEETS IN SHOP 2,VEGETABLES 2,Food Caven,BAKED GOODS,BEVERAGES,BREAKFAST FOOD,CANNED DRY GOODS,COOKING BAKING SUPPLIES,DAIRY,FROZEN,FRUITS,GRAIN/PASTA/RICE,MEAT,REFRIGERATED DELI,SEAFOOD,SWEETS IN SHOP,VEGETABLES,CANNED DRY GOODS 2,COOKING BAKING SUPPLIES 2,DAIRY 2,FROZEN 2,FRUITS 2,GRAIN/PASTA/RICE 2,MEAT 2,REFRIGERATED DELI 2,SEAFOOD 2,SWEETS IN SHOP 2,VEGETABLES 2,Food Lion
Description For Your Customers; Test,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,4653 W Market St. Greensboro. NC 27402,Description For Your Customers 2,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,Description For Your Customers,4653 W Market St. Greensboro. NC 27402
naan $3.79,apple juice $1.09,breakfast bars $1.35,black beans $0.69,baking powder $0.99,butter $2.25,bean/carrot medley $1.39,apples $2.89,couscous $1.25,bacon $3.49,American cheese $1.45,Salmon filet $6.99,Chigardelli chocolate $2.78,asparagus $1.99,black beans $0.69,baking powder $0.99,butter $2.25,bean/carrot medley $1.39,apples $2.89,couscous $1.25,bacon $3.49,American cheese $1.45,Salmon filet $6.99,Chigardelli chocolate $2.78,asparagus $1.99,13363079465,naan 2 $3.79,apple juice $1.09,breakfast bars $1.35,black beans $0.69,baking powder $0.99,butter $2.25,bean/carrot medley $1.39,apples $2.89,couscous $1.25,bacon $3.49,American cheese $1.45,Salmon filet $6.99,Chigardelli chocolate $2.78,asparagus $1.99,black beans $0.69,baking powder $0.99,butter $2.25,bean/carrot medley $1.39,apples $2.89,couscous $1.25,bacon $3.49,American cheese $1.45,Salmon filet $6.99,Chigardelli chocolate $2.78,asparagus $1.99,3362979338
english muffins $1.15,coffee $3.79,Crispy Oats $1.79,broth $1.89,baking soda $0.50,cheddar cheese shrd $3.29,corn $0.95,avocados $1.09,egg noodles $1.39,chicken breasts $10.22,beef smoked sausage $2.29,Salmon steaks $5.99,Oreo cookies $4.50,baby carrots $0.89,,,,,,,,,,,,Grocery,english muffins 2 $1.15,coffee $3.79,Crispy Oats $1.79,broth $1.89,baking soda $0.50,cheddar cheese shrd $3.29,corn $0.95,avocados $1.09,egg noodles $1.39,chicken breasts $10.22,beef smoked sausage $2.29,Salmon steaks $5.99,Oreo cookies $4.50,baby carrots $0.89,,,,,,,,,,,,Brands
buns hamburger $1.70,grape juice $2.39,granola $2.19,chick peas $0.69,chocolate chips $1.89,coffee creamer $1.79,green beans $1.39,bananas per lb $0.44,Jasmine rice 5 lbs $4.79,chicken thighs $3.50,cheddar brats $2.49,Fillet of catfish $8.00,Hersheys chocolates $2.25,broccoli $1.29,,,,,,,,,,,,,buns hamburger $1.70,grape juice $2.39,granola $2.19,chick peas $0.69,chocolate chips $1.89,coffee creamer $1.79,green beans $1.39,bananas per lb $0.44,Jasmine rice 5 lbs $4.79,chicken thighs $3.50,cheddar brats $2.49,Fillet of catfish $8.00,Hersheys chocolates $2.25,broccoli $1.29,,,,,,,,,,,,
bread $1.89,tea $1.89,Marshmallow & Star $1.49,chicken broth 32 oz. $1.19,cocoa $1.79,cottage cheese $1.59,mixed vegetables $0.95,grapefruit $0.99,lentils $1.50,ground beef $9.99,cocktail sausages $2.25,Tuna fillet $28.00,M & M $4.50,brussels sprouts $1.29,,,,,,,,,,,,,bread $1.89,tea $1.89,Marshmallow & Star $1.49,chicken broth 32 oz. $1.19,cocoa $1.79,cottage cheese $1.59,mixed vegetables $0.95,grapefruit $0.99,lentils $1.50,ground beef $9.99,cocktail sausages $2.25,Tuna fillet $28.00,M & M $4.50,brussels sprouts $1.29,,,,,,,,,,,,
bagels $1.49,Orange juice $4.50,oatmeal $2.39,chili beans $0.69,extracts $1.99,cream cheese $1.00,peas $0.95,grapes $2.29,macaroni & cheese $0.49,Italian sausage $2.99,colby block $1.99,Trout ocean filet $40.00,Blue Berry Muffins $2.40,cabbage $1.49,,,,,,,,,,,,,bagels $1.49,Orange juice $4.50,oatmeal $2.39,chili beans $0.69,extracts $1.99,cream cheese $1.00,peas $0.95,grapes $2.29,macaroni & cheese $0.49,Italian sausage $2.99,colby block $1.99,Trout ocean filet $40.00,Blue Berry Muffins $2.40,cabbage $1.49,,,,,,,,,,,,
Buns $.79,,,chipotle peppers $0.99,flour $1.69,eggs half dozen $1.18,pizza $2.29,kiwi $3.49,pasta $0.79,pork sausage roll $2.29,deli meats $3.19,Shrimp $12.00,Croissants $5.00,carrots $1.49,,,,,,,,,,,,,Buns $.79,,,chipotle peppers $0.99,flour $1.69,eggs half dozen $1.18,pizza $2.29,kiwi $3.49,pasta $0.79,pork sausage roll $2.29,deli meats $3.19,Shrimp $12.00,Croissants $5.00,carrots $1.49,,,,,,,,,,,,
,,,corn $0.48,herbs/spices $0.95,fresh mozarella 8 oz $2.79,pre-cooked sausage $5.29,lemons $2.19,quinoa $3.49,turkey thighs $6.10,hot dogs $1.29,Crab $18.99,Crab $18.99,cauliflower $1.59,,,,,,,,,,,,,,,,corn $0.48,herbs/spices $0.95,fresh mozarella; 8 oz $2.79,pre-cooked sausage $5.29,lemons $2.19,quinoa $3.49,turkey thighs $6.10,hot dogs $1.29,Crab $18.99,Crab $18.99,cauliflower $1.59,,,,,,,,,,,,
,,,cream soup $0.49,marshmallows $0.89,greek yogurt $3.79,spinach $0.99,limes $2.69,white rice 3 lbs. $1.29,Pork fillet $5.00,hummus $1.99,,,celery $1.29,,,,,,,,,,,,,,,,cream soup $0.49,marshmallows $0.89,greek yogurt $3.79,spinach $0.99,limes $2.69,white rice 3 lbs. $1.29,Pork fillet $5.00,hummus $1.99,,,celery $1.29,,,,,,,,,,,,
